text,risk_level,age
Today was peaceful. I even went out for a walk by myself. I felt calm. The kids seemed happy today.,safe,45
He didn’t come home until late and wouldn’t talk. I felt worried.,at_risk,48
I slept through the night without waking up in panic. I felt hopeful.,safe,53
He said good morning and that felt comforting. I felt calm.,safe,54
He grabbed my wrist when I tried to leave the room. I felt panicked.,immediate_danger,34
He threw my phone against the wall today. I felt terrified.,immediate_danger,19
We talked about our plans and no arguments came up. I felt relieved.,safe,48
He said good morning and that felt comforting. I felt relieved.,safe,35
He didn’t come home until late and wouldn’t talk. I felt worried.,at_risk,64
I feel like he’s getting more impatient lately. I felt worried.,at_risk,34
We talked about our plans and no arguments came up. I felt relieved.,safe,19
He keeps checking where I go. I feel watched. I felt tense. My daughter stayed in her room most of the day.,at_risk,58
He said he’ll make sure I regret everything. I felt panicked.,immediate_danger,21
Sometimes I pretend to sleep so I don't have to talk to him. I felt tense.,at_risk,32
I feel like he’s getting more impatient lately. I felt tense. He didn’t say anything to the children today.,at_risk,25
He was in a good mood today and we had dinner together. I felt relieved. He didn’t say anything to the children today.,safe,60
I try not to upset him but I never know what will trigger him. I felt tense. The kids seemed happy today.,at_risk,47
I heard him walking around the house with something heavy. I felt terrified.,immediate_danger,42
I slept through the night without waking up in panic. I felt hopeful.,safe,64
Today was peaceful. I even went out for a walk by myself. I felt hopeful.,safe,28
I feel like he’s getting more impatient lately. I felt worried. My daughter stayed in her room most of the day.,at_risk,28
Sometimes I pretend to sleep so I don't have to talk to him. I felt tense. The kids are starting to ask questions.,at_risk,51
Today was peaceful. I even went out for a walk by myself. I felt hopeful. I cooked dinner while they did homework.,safe,39
Sometimes I pretend to sleep so I don't have to talk to him. I felt worried.,at_risk,26
He didn’t come home until late and wouldn’t talk. I felt tense.,at_risk,37
He raised his voice again but didn’t hit me. I felt worried.,at_risk,48
Sometimes I pretend to sleep so I don't have to talk to him. I felt anxious. My daughter stayed in her room most of the day.,at_risk,65
He said he’ll make sure I regret everything. I felt terrified.,immediate_danger,39
He said good morning and that felt comforting. I felt calm.,safe,40
We talked about our plans and no arguments came up. I felt calm.,safe,39
I locked myself in the bathroom after he yelled. I felt panicked.,immediate_danger,42
I locked myself in the bathroom after he yelled. I felt panicked.,immediate_danger,26
I slept through the night without waking up in panic. I felt hopeful.,safe,39
Today was peaceful. I even went out for a walk by myself. I felt relieved.,safe,31
Today was peaceful. I even went out for a walk by myself. I felt relieved.,safe,35
He threw my phone against the wall today. I felt fearful.,immediate_danger,31
Today was peaceful. I even went out for a walk by myself. I felt calm. My daughter stayed in her room most of the day.,safe,20
Sometimes I pretend to sleep so I don't have to talk to him. I felt anxious.,at_risk,33
I feel like he’s getting more impatient lately. I felt anxious.,at_risk,58
I heard him walking around the house with something heavy. I felt terrified.,immediate_danger,34
"He told me if I left, he would find me. I felt panicked. I tried to keep the children quiet.",immediate_danger,52
He was in a good mood today and we had dinner together. I felt hopeful.,safe,59
We talked about our plans and no arguments came up. I felt calm.,safe,44
I slept through the night without waking up in panic. I felt hopeful. I tried to keep the children quiet.,safe,57
I locked myself in the bathroom after he yelled. I felt terrified.,immediate_danger,55
He was in a good mood today and we had dinner together. I felt hopeful.,safe,64
He didn’t come home until late and wouldn’t talk. I felt tense. The kids are starting to ask questions.,at_risk,27
We talked about our plans and no arguments came up. I felt calm.,safe,56
"He told me if I left, he would find me. I felt terrified.",immediate_danger,63
He keeps checking where I go. I feel watched. I felt worried.,at_risk,53
I slept through the night without waking up in panic. I felt relieved.,safe,19
He was in a good mood today and we had dinner together. I felt relieved. The kids are starting to ask questions.,safe,28
Today we didn’t fight. It was a calm day and I’m thankful. I felt relieved. The kids are starting to ask questions.,safe,62
I feel like he’s getting more impatient lately. I felt anxious. The kids are starting to ask questions.,at_risk,47
He was in a good mood today and we had dinner together. I felt relieved.,safe,33
I slept through the night without waking up in panic. I felt relieved. The kids seemed happy today.,safe,51
I locked myself in the bathroom after he yelled. I felt terrified.,immediate_danger,46
He raised his voice again but didn’t hit me. I felt tense.,at_risk,40
"He told me if I left, he would find me. I felt terrified.",immediate_danger,29
He grabbed my wrist when I tried to leave the room. I felt fearful.,immediate_danger,34
He was in a good mood today and we had dinner together. I felt calm.,safe,39
Today was peaceful. I even went out for a walk by myself. I felt calm. I cooked dinner while they did homework.,safe,45
He said he’ll make sure I regret everything. I felt fearful.,immediate_danger,56
I heard him walking around the house with something heavy. I felt panicked.,immediate_danger,53
I feel like he’s getting more impatient lately. I felt tense.,at_risk,48
I locked myself in the bathroom after he yelled. I felt fearful. My daughter stayed in her room most of the day.,immediate_danger,21
He was in a good mood today and we had dinner together. I felt hopeful.,safe,42
He said he’ll make sure I regret everything. I felt fearful.,immediate_danger,53
We talked about our plans and no arguments came up. I felt hopeful.,safe,53
He said he’ll make sure I regret everything. I felt fearful.,immediate_danger,55
I heard him walking around the house with something heavy. I felt panicked.,immediate_danger,55
He raised his voice again but didn’t hit me. I felt worried.,at_risk,43
We talked about our plans and no arguments came up. I felt calm. He didn’t say anything to the children today.,safe,42
He said good morning and that felt comforting. I felt relieved. The kids are starting to ask questions.,safe,43
He was in a good mood today and we had dinner together. I felt relieved.,safe,44
He raised his voice again but didn’t hit me. I felt anxious.,at_risk,33
I slept through the night without waking up in panic. I felt hopeful.,safe,24
He said he’ll make sure I regret everything. I felt fearful. My daughter stayed in her room most of the day.,immediate_danger,46
He was in a good mood today and we had dinner together. I felt calm.,safe,63
He grabbed my wrist when I tried to leave the room. I felt terrified.,immediate_danger,52
He said good morning and that felt comforting. I felt relieved. The kids seemed happy today.,safe,41
He didn’t come home until late and wouldn’t talk. I felt worried.,at_risk,26
He said he’ll make sure I regret everything. I felt panicked.,immediate_danger,19
Sometimes I pretend to sleep so I don't have to talk to him. I felt worried. We played board games together after school.,at_risk,26
He said he’ll make sure I regret everything. I felt terrified.,immediate_danger,26
It was a calm evening. Nothing alarming happened. I felt hopeful.,safe,61
He keeps checking where I go. I feel watched. I felt tense. I cooked dinner while they did homework.,at_risk,41
I heard him walking around the house with something heavy. I felt fearful.,immediate_danger,60
He said he’ll make sure I regret everything. I felt panicked. My daughter stayed in her room most of the day.,immediate_danger,55
He didn’t come home until late and wouldn’t talk. I felt tense. He didn’t say anything to the children today.,at_risk,37
I locked myself in the bathroom after he yelled. I felt panicked.,immediate_danger,25
He punched the wall again. It’s not the first time. I felt worried. The kids seemed happy today.,at_risk,63
"He told me if I left, he would find me. I felt panicked.",immediate_danger,37
He said he’ll make sure I regret everything. I felt fearful.,immediate_danger,46
He said good morning and that felt comforting. I felt calm.,safe,61
It was a calm evening. Nothing alarming happened. I felt relieved.,safe,37
He was in a good mood today and we had dinner together. I felt hopeful.,safe,55
He said good morning and that felt comforting. I felt relieved.,safe,38
He was in a good mood today and we had dinner together. I felt hopeful.,safe,61
I locked myself in the bathroom after he yelled. I felt panicked. My daughter stayed in her room most of the day.,immediate_danger,37
I heard him walking around the house with something heavy. I felt fearful.,immediate_danger,49
We talked about our plans and no arguments came up. I felt calm.,safe,37
We talked about our plans and no arguments came up. I felt hopeful. The kids seemed happy today.,safe,51
He threw my phone against the wall today. I felt fearful. I tried to keep the children quiet.,immediate_danger,23
I locked myself in the bathroom after he yelled. I felt terrified.,immediate_danger,44
I try not to upset him but I never know what will trigger him. I felt tense. I cooked dinner while they did homework.,at_risk,59
He said good morning and that felt comforting. I felt relieved.,safe,62
I slept through the night without waking up in panic. I felt calm.,safe,40
He screamed at me in front of the kids tonight. I felt terrified.,immediate_danger,32
I feel like he’s getting more impatient lately. I felt worried.,at_risk,50
He didn’t come home until late and wouldn’t talk. I felt anxious.,at_risk,18
It was a calm evening. Nothing alarming happened. I felt calm. I cooked dinner while they did homework.,safe,46
Today was peaceful. I even went out for a walk by myself. I felt hopeful. We played board games together after school.,safe,29
I locked myself in the bathroom after he yelled. I felt panicked. He didn’t say anything to the children today.,immediate_danger,22
I try not to upset him but I never know what will trigger him. I felt tense. He didn’t say anything to the children today.,at_risk,26
He said good morning and that felt comforting. I felt hopeful.,safe,63
I locked myself in the bathroom after he yelled. I felt panicked.,immediate_danger,50
Today was peaceful. I even went out for a walk by myself. I felt relieved. I tried to keep the children quiet.,safe,19
He didn’t come home until late and wouldn’t talk. I felt tense.,at_risk,52
I slept through the night without waking up in panic. I felt calm. I tried to keep the children quiet.,safe,47
He was in a good mood today and we had dinner together. I felt hopeful. My daughter stayed in her room most of the day.,safe,64
He grabbed my wrist when I tried to leave the room. I felt fearful. The kids seemed happy today.,immediate_danger,32
He raised his voice again but didn’t hit me. I felt anxious. I cooked dinner while they did homework.,at_risk,26
I feel like he’s getting more impatient lately. I felt worried. He didn’t say anything to the children today.,at_risk,45
He said good morning and that felt comforting. I felt calm.,safe,45
"He told me if I left, he would find me. I felt terrified. He didn’t say anything to the children today.",immediate_danger,49
I heard him walking around the house with something heavy. I felt panicked.,immediate_danger,52
He raised his voice again but didn’t hit me. I felt anxious.,at_risk,22
I try not to upset him but I never know what will trigger him. I felt anxious. My daughter stayed in her room most of the day.,at_risk,57
I heard him walking around the house with something heavy. I felt terrified.,immediate_danger,18
He threw my phone against the wall today. I felt terrified.,immediate_danger,44
He keeps checking where I go. I feel watched. I felt tense. The kids seemed happy today.,at_risk,22
He said good morning and that felt comforting. I felt relieved.,safe,49
He punched the wall again. It’s not the first time. I felt anxious. The kids are starting to ask questions.,at_risk,18
Today we didn’t fight. It was a calm day and I’m thankful. I felt calm. I tried to keep the children quiet.,safe,56
He raised his voice again but didn’t hit me. I felt tense. I cooked dinner while they did homework.,at_risk,64
It was a calm evening. Nothing alarming happened. I felt hopeful. The kids seemed happy today.,safe,30
He punched the wall again. It’s not the first time. I felt anxious. The kids seemed happy today.,at_risk,52
Sometimes I pretend to sleep so I don't have to talk to him. I felt worried.,at_risk,18
Today was peaceful. I even went out for a walk by myself. I felt relieved.,safe,29
He said good morning and that felt comforting. I felt relieved.,safe,32
He grabbed my wrist when I tried to leave the room. I felt terrified. He didn’t say anything to the children today.,immediate_danger,33
I feel like he’s getting more impatient lately. I felt tense.,at_risk,32
I slept through the night without waking up in panic. I felt relieved. The kids seemed happy today.,safe,57
He didn’t come home until late and wouldn’t talk. I felt anxious. I cooked dinner while they did homework.,at_risk,42
Today we didn’t fight. It was a calm day and I’m thankful. I felt calm.,safe,41
He punched the wall again. It’s not the first time. I felt tense.,at_risk,57
He said good morning and that felt comforting. I felt relieved.,safe,56
He said he’ll make sure I regret everything. I felt panicked.,immediate_danger,47
He raised his voice again but didn’t hit me. I felt anxious.,at_risk,41
He screamed at me in front of the kids tonight. I felt panicked.,immediate_danger,56
Today we didn’t fight. It was a calm day and I’m thankful. I felt calm.,safe,21
I slept through the night without waking up in panic. I felt calm.,safe,26
He grabbed my wrist when I tried to leave the room. I felt terrified.,immediate_danger,46
We talked about our plans and no arguments came up. I felt calm.,safe,28
He grabbed my wrist when I tried to leave the room. I felt terrified. I cooked dinner while they did homework.,immediate_danger,33
It was a calm evening. Nothing alarming happened. I felt calm.,safe,24
He grabbed my wrist when I tried to leave the room. I felt panicked.,immediate_danger,63
He keeps checking where I go. I feel watched. I felt tense.,at_risk,48
He raised his voice again but didn’t hit me. I felt tense.,at_risk,62
He keeps checking where I go. I feel watched. I felt worried.,at_risk,41
We talked about our plans and no arguments came up. I felt relieved.,safe,58
It was a calm evening. Nothing alarming happened. I felt hopeful.,safe,41
It was a calm evening. Nothing alarming happened. I felt hopeful. I tried to keep the children quiet.,safe,36
He said good morning and that felt comforting. I felt relieved.,safe,59
I locked myself in the bathroom after he yelled. I felt fearful. The kids are starting to ask questions.,immediate_danger,28
I heard him walking around the house with something heavy. I felt terrified.,immediate_danger,42
He grabbed my wrist when I tried to leave the room. I felt fearful.,immediate_danger,18
I slept through the night without waking up in panic. I felt relieved. He didn’t say anything to the children today.,safe,26
He punched the wall again. It’s not the first time. I felt anxious.,at_risk,59
He threw my phone against the wall today. I felt fearful.,immediate_danger,31
He said he’ll make sure I regret everything. I felt panicked. I tried to keep the children quiet.,immediate_danger,21
I heard him walking around the house with something heavy. I felt panicked.,immediate_danger,28
"He told me if I left, he would find me. I felt panicked.",immediate_danger,26
He grabbed my wrist when I tried to leave the room. I felt panicked. I cooked dinner while they did homework.,immediate_danger,21
He said he’ll make sure I regret everything. I felt panicked.,immediate_danger,51
"He told me if I left, he would find me. I felt panicked.",immediate_danger,45
I try not to upset him but I never know what will trigger him. I felt tense.,at_risk,40
I locked myself in the bathroom after he yelled. I felt panicked.,immediate_danger,19
He didn’t come home until late and wouldn’t talk. I felt anxious. We played board games together after school.,at_risk,27
I slept through the night without waking up in panic. I felt relieved.,safe,46
He keeps checking where I go. I feel watched. I felt tense.,at_risk,51
He raised his voice again but didn’t hit me. I felt tense.,at_risk,30
He said he’ll make sure I regret everything. I felt panicked.,immediate_danger,60
He screamed at me in front of the kids tonight. I felt fearful.,immediate_danger,20
I heard him walking around the house with something heavy. I felt panicked.,immediate_danger,40
He raised his voice again but didn’t hit me. I felt tense.,at_risk,47
I heard him walking around the house with something heavy. I felt terrified.,immediate_danger,34
Today was peaceful. I even went out for a walk by myself. I felt hopeful. I cooked dinner while they did homework.,safe,45
He grabbed my wrist when I tried to leave the room. I felt terrified.,immediate_danger,23
He didn’t come home until late and wouldn’t talk. I felt anxious. He didn’t say anything to the children today.,at_risk,18
He threw my phone against the wall today. I felt fearful.,immediate_danger,39
He keeps checking where I go. I feel watched. I felt anxious.,at_risk,45
We talked about our plans and no arguments came up. I felt hopeful.,safe,56
He punched the wall again. It’s not the first time. I felt tense.,at_risk,48
He didn’t come home until late and wouldn’t talk. I felt worried. I cooked dinner while they did homework.,at_risk,48
I locked myself in the bathroom after he yelled. I felt panicked.,immediate_danger,27
He threw my phone against the wall today. I felt terrified. The kids seemed happy today.,immediate_danger,24
It was a calm evening. Nothing alarming happened. I felt calm.,safe,65
Sometimes I pretend to sleep so I don't have to talk to him. I felt anxious. My daughter stayed in her room most of the day.,at_risk,22
He didn’t come home until late and wouldn’t talk. I felt anxious.,at_risk,50
He grabbed my wrist when I tried to leave the room. I felt panicked.,immediate_danger,39
He screamed at me in front of the kids tonight. I felt fearful. The kids are starting to ask questions.,immediate_danger,57
He punched the wall again. It’s not the first time. I felt anxious.,at_risk,30
I slept through the night without waking up in panic. I felt hopeful. We played board games together after school.,safe,45
I locked myself in the bathroom after he yelled. I felt panicked. I tried to keep the children quiet.,immediate_danger,52
He didn’t come home until late and wouldn’t talk. I felt anxious. I tried to keep the children quiet.,at_risk,51
We talked about our plans and no arguments came up. I felt hopeful.,safe,57
He said good morning and that felt comforting. I felt relieved.,safe,36
We talked about our plans and no arguments came up. I felt hopeful.,safe,33
He screamed at me in front of the kids tonight. I felt fearful.,immediate_danger,48
Sometimes I pretend to sleep so I don't have to talk to him. I felt worried.,at_risk,50
He said he’ll make sure I regret everything. I felt fearful. The kids are starting to ask questions.,immediate_danger,27
He grabbed my wrist when I tried to leave the room. I felt fearful.,immediate_danger,41
He said he’ll make sure I regret everything. I felt panicked. We played board games together after school.,immediate_danger,25
We talked about our plans and no arguments came up. I felt hopeful. The kids seemed happy today.,safe,56
"He told me if I left, he would find me. I felt terrified.",immediate_danger,40
He threw my phone against the wall today. I felt fearful.,immediate_danger,42
I heard him walking around the house with something heavy. I felt fearful. The kids seemed happy today.,immediate_danger,50
"He told me if I left, he would find me. I felt panicked. I cooked dinner while they did homework.",immediate_danger,20
He raised his voice again but didn’t hit me. I felt anxious.,at_risk,33
Today was peaceful. I even went out for a walk by myself. I felt relieved. I tried to keep the children quiet.,safe,32
Sometimes I pretend to sleep so I don't have to talk to him. I felt worried.,at_risk,57
Today we didn’t fight. It was a calm day and I’m thankful. I felt calm.,safe,32
He grabbed my wrist when I tried to leave the room. I felt panicked.,immediate_danger,65
He was in a good mood today and we had dinner together. I felt hopeful.,safe,36
I locked myself in the bathroom after he yelled. I felt terrified. I cooked dinner while they did homework.,immediate_danger,37
He raised his voice again but didn’t hit me. I felt tense.,at_risk,29
He screamed at me in front of the kids tonight. I felt terrified. The kids are starting to ask questions.,immediate_danger,54
He said good morning and that felt comforting. I felt hopeful. We played board games together after school.,safe,37
He threw my phone against the wall today. I felt fearful.,immediate_danger,56
I try not to upset him but I never know what will trigger him. I felt tense.,at_risk,26
He raised his voice again but didn’t hit me. I felt worried.,at_risk,48
Sometimes I pretend to sleep so I don't have to talk to him. I felt anxious. I cooked dinner while they did homework.,at_risk,24
He said he’ll make sure I regret everything. I felt terrified.,immediate_danger,42
I heard him walking around the house with something heavy. I felt terrified.,immediate_danger,37
He keeps checking where I go. I feel watched. I felt tense.,at_risk,33
Today was peaceful. I even went out for a walk by myself. I felt calm.,safe,63
I try not to upset him but I never know what will trigger him. I felt worried.,at_risk,61
I heard him walking around the house with something heavy. I felt terrified.,immediate_danger,26
I locked myself in the bathroom after he yelled. I felt fearful. I cooked dinner while they did homework.,immediate_danger,43
He was in a good mood today and we had dinner together. I felt calm.,safe,48
It was a calm evening. Nothing alarming happened. I felt relieved. I cooked dinner while they did homework.,safe,39
He said he’ll make sure I regret everything. I felt panicked.,immediate_danger,36
He grabbed my wrist when I tried to leave the room. I felt fearful.,immediate_danger,60
I try not to upset him but I never know what will trigger him. I felt anxious.,at_risk,41
Today was peaceful. I even went out for a walk by myself. I felt hopeful.,safe,24
I slept through the night without waking up in panic. I felt relieved.,safe,37
He grabbed my wrist when I tried to leave the room. I felt terrified.,immediate_danger,31
Today was peaceful. I even went out for a walk by myself. I felt hopeful.,safe,37
Sometimes I pretend to sleep so I don't have to talk to him. I felt tense. He didn’t say anything to the children today.,at_risk,62
"He told me if I left, he would find me. I felt terrified. I cooked dinner while they did homework.",immediate_danger,25
He punched the wall again. It’s not the first time. I felt worried. My daughter stayed in her room most of the day.,at_risk,31
I try not to upset him but I never know what will trigger him. I felt worried.,at_risk,44
He punched the wall again. It’s not the first time. I felt worried. I cooked dinner while they did homework.,at_risk,27
We talked about our plans and no arguments came up. I felt hopeful.,safe,26
I heard him walking around the house with something heavy. I felt fearful.,immediate_danger,22
He didn’t come home until late and wouldn’t talk. I felt anxious.,at_risk,49
He screamed at me in front of the kids tonight. I felt panicked.,immediate_danger,32
He keeps checking where I go. I feel watched. I felt tense.,at_risk,44
Sometimes I pretend to sleep so I don't have to talk to him. I felt tense.,at_risk,46
I try not to upset him but I never know what will trigger him. I felt worried. The kids seemed happy today.,at_risk,60
He screamed at me in front of the kids tonight. I felt terrified.,immediate_danger,52
Today was peaceful. I even went out for a walk by myself. I felt calm.,safe,37
I heard him walking around the house with something heavy. I felt terrified.,immediate_danger,52
Today we didn’t fight. It was a calm day and I’m thankful. I felt hopeful.,safe,24
I slept through the night without waking up in panic. I felt relieved.,safe,25
He said he’ll make sure I regret everything. I felt fearful.,immediate_danger,64
I try not to upset him but I never know what will trigger him. I felt worried. The kids are starting to ask questions.,at_risk,23
I heard him walking around the house with something heavy. I felt terrified.,immediate_danger,39
He punched the wall again. It’s not the first time. I felt anxious.,at_risk,37
He punched the wall again. It’s not the first time. I felt anxious. The kids seemed happy today.,at_risk,61
He screamed at me in front of the kids tonight. I felt terrified.,immediate_danger,39
We talked about our plans and no arguments came up. I felt calm.,safe,19
We talked about our plans and no arguments came up. I felt hopeful.,safe,20
I try not to upset him but I never know what will trigger him. I felt worried.,at_risk,57
He keeps checking where I go. I feel watched. I felt anxious.,at_risk,62
I slept through the night without waking up in panic. I felt relieved. The kids are starting to ask questions.,safe,59
He raised his voice again but didn’t hit me. I felt tense.,at_risk,38
He said he’ll make sure I regret everything. I felt terrified.,immediate_danger,46
He screamed at me in front of the kids tonight. I felt terrified. The kids are starting to ask questions.,immediate_danger,52
I locked myself in the bathroom after he yelled. I felt panicked. The kids are starting to ask questions.,immediate_danger,64
He keeps checking where I go. I feel watched. I felt tense.,at_risk,19
It was a calm evening. Nothing alarming happened. I felt relieved.,safe,44
He keeps checking where I go. I feel watched. I felt tense.,at_risk,58
He was in a good mood today and we had dinner together. I felt calm. The kids are starting to ask questions.,safe,48
I locked myself in the bathroom after he yelled. I felt terrified. He didn’t say anything to the children today.,immediate_danger,31
He was in a good mood today and we had dinner together. I felt hopeful.,safe,32
He raised his voice again but didn’t hit me. I felt anxious. I tried to keep the children quiet.,at_risk,37
He said good morning and that felt comforting. I felt calm.,safe,52
I locked myself in the bathroom after he yelled. I felt terrified.,immediate_danger,60
He raised his voice again but didn’t hit me. I felt worried.,at_risk,51
I feel like he’s getting more impatient lately. I felt tense.,at_risk,26
He keeps checking where I go. I feel watched. I felt tense.,at_risk,24
He punched the wall again. It’s not the first time. I felt tense. He didn’t say anything to the children today.,at_risk,31
He keeps checking where I go. I feel watched. I felt anxious.,at_risk,39
Today we didn’t fight. It was a calm day and I’m thankful. I felt relieved. I cooked dinner while they did homework.,safe,60
He punched the wall again. It’s not the first time. I felt anxious.,at_risk,53
He raised his voice again but didn’t hit me. I felt tense.,at_risk,54
"He told me if I left, he would find me. I felt panicked.",immediate_danger,22
I heard him walking around the house with something heavy. I felt terrified.,immediate_danger,41
I locked myself in the bathroom after he yelled. I felt fearful. We played board games together after school.,immediate_danger,36
He keeps checking where I go. I feel watched. I felt tense.,at_risk,33
It was a calm evening. Nothing alarming happened. I felt relieved.,safe,49
He raised his voice again but didn’t hit me. I felt tense.,at_risk,43
Today was peaceful. I even went out for a walk by myself. I felt calm.,safe,20
I locked myself in the bathroom after he yelled. I felt terrified.,immediate_danger,42
Today we didn’t fight. It was a calm day and I’m thankful. I felt calm. The kids seemed happy today.,safe,33
He threw my phone against the wall today. I felt terrified. I cooked dinner while they did homework.,immediate_danger,37
I locked myself in the bathroom after he yelled. I felt terrified. We played board games together after school.,immediate_danger,58
I feel like he’s getting more impatient lately. I felt anxious.,at_risk,43
He grabbed my wrist when I tried to leave the room. I felt fearful.,immediate_danger,53
I try not to upset him but I never know what will trigger him. I felt worried.,at_risk,37
He said he’ll make sure I regret everything. I felt panicked.,immediate_danger,18
He said he’ll make sure I regret everything. I felt panicked.,immediate_danger,28
He threw my phone against the wall today. I felt panicked. My daughter stayed in her room most of the day.,immediate_danger,58
We talked about our plans and no arguments came up. I felt relieved.,safe,57
"He told me if I left, he would find me. I felt fearful.",immediate_danger,60
I locked myself in the bathroom after he yelled. I felt panicked.,immediate_danger,48
"He told me if I left, he would find me. I felt fearful. I cooked dinner while they did homework.",immediate_danger,21
He raised his voice again but didn’t hit me. I felt worried.,at_risk,38
I try not to upset him but I never know what will trigger him. I felt anxious.,at_risk,23
We talked about our plans and no arguments came up. I felt hopeful.,safe,44
I locked myself in the bathroom after he yelled. I felt panicked. We played board games together after school.,immediate_danger,49
I heard him walking around the house with something heavy. I felt fearful.,immediate_danger,59
I slept through the night without waking up in panic. I felt calm. I tried to keep the children quiet.,safe,37
He said he’ll make sure I regret everything. I felt fearful.,immediate_danger,37
He didn’t come home until late and wouldn’t talk. I felt tense.,at_risk,21
He keeps checking where I go. I feel watched. I felt worried. I cooked dinner while they did homework.,at_risk,58
I heard him walking around the house with something heavy. I felt panicked.,immediate_danger,29
He punched the wall again. It’s not the first time. I felt anxious. I tried to keep the children quiet.,at_risk,31
